"","Subject","Age","Gender","STAIT","Condition","EV","AltEV","Risk","AltRisk","Actual","Counterfactual","Satisfaction","ReactionTime","Trial","TrialTot"
"194",3,22,"male",60,"double","high","high","low","high",20,40,1.34224893445519,5.28859523200117,2,2
"195",3,22,"male",60,"double","low","high","low","high",20,40,1.97676661256127,3.91360084600092,3,3
"196",3,22,"male",60,"double","high","low","low","high",40,40,6.61362656795191,0.000133494999317918,4,4
"197",3,22,"male",60,"double","high","low","high","high",0,40,-7.223739719977,5.85305455100024,5,5
"198",3,22,"male",60,"double","low","low","high","low",40,20,6.93088540700496,4.88476048099983,6,6
"199",3,22,"male",60,"double","low","high","high","high",40,40,6.93088540700496,4.13748000499982,7,7
"200",3,22,"male",60,"double","high","low","low","low",20,20,1.51308061702221,4.41784971299967,8,8
"201",3,22,"male",60,"double","high","low","low","low",0,40,-7.41897592862502,1.71833048799999,9,9
"202",3,22,"male",60,"double","high","low","high","high",0,0,-7.223739719977,5.05898155400064,10,10
"203",3,22,"male",60,"double","low","high","low","high",40,40,7.19933519389599,3.9132496860002,11,11
"204",3,22,"male",60,"double","low","low","low","high",20,0,7.00409898524797,4.95203852300074,12,12
"205",3,22,"male",60,"double","low","high","low","high",20,40,6.63803109403292,5.94534167399979,13,13
"206",3,22,"male",60,"double","low","low","low","high",20,40,6.76005372443793,2.67011655799979,14,14
"207",3,22,"male",60,"double","high","low","high","high",40,40,6.90648088092395,3.7294862990002,15,15
"208",3,22,"male",60,"double","high","low","low","low",20,20,7.02850351132897,6.33731425600126,16,16
"209",3,22,"male",60,"double","high","low","low","high",20,40,7.00409898524797,4.22582301900002,17,17
"210",3,22,"male",60,"double","high","high","low","high",40,40,4.80769163795766,2.27331827499984,18,18
"211",3,22,"male",60,"double","high","high","low","high",20,0,7.10171708957198,1.9397918199993,19,19
"212",3,22,"male",60,"double","low","low","low","high",20,0,7.12612161565298,2.58703661099935,20,20
"213",3,22,"male",60,"double","low","high","low","high",20,40,6.95528993308596,5.24591686999884,21,21
"214",3,22,"male",60,"double","high","low","low","low",20,20,6.95528993308596,3.49198250299924,22,22
"215",3,22,"male",60,"double","high","low","low","high",40,40,4.12436490768957,2.59239246600009,23,23
"216",3,22,"male",60,"double","high","high","low","high",40,40,3.51425175566448,2.21946915700028,24,24
"217",3,22,"male",60,"single","high","low","low","low",20,20,6.78445825051894,2.29799541700049,1,25
"218",3,22,"male",60,"single","high","low","low","high",20,0,6.93088540700496,2.21216403300059,2,26
"219",3,22,"male",60,"single","high","low","low","high",40,0,3.83151059471753,1.88962118500058,3,27
"220",3,22,"male",60,"single","high","low","high","high",40,40,7.07731256349098,4.70353962599984,4,28
"221",3,22,"male",60,"single","high","high","low","high",20,0,6.29636772889887,2.5196515030002,5,29
"222",3,22,"male",60,"single","low","high","low","high",20,0,6.97969445916696,1.92024817600031,6,30
"223",3,22,"male",60,"single","low","high","low","high",20,40,6.73564919835693,1.94035119099863,7,31
"224",3,22,"male",60,"single","high","low","low","low",20,20,6.63803109403292,3.68180843000118,8,32
"225",3,22,"male",60,"single","high","high","low","high",20,40,6.68684014619492,1.72225460899972,9,33
"226",3,22,"male",60,"single","high","low","low","high",20,0,6.88207635484295,2.0381053100009,10,34
"227",3,22,"male",60,"single","high","low","high","high",0,0,-7.19933519389599,2.73079640600008,11,35
"228",3,22,"male",60,"single","high","low","high","high",40,40,6.90648088092395,4.59337443000004,12,36
"229",3,22,"male",60,"single","high","low","low","high",20,0,6.49160393754689,2.21695854500103,13,37
"230",3,22,"male",60,"single","high","high","low","high",20,40,6.5648175157899,1.92956950199914,14,38
"231",3,22,"male",60,"single","high","low","high","high",0,40,-7.12612161565298,2.0837048379999,15,39
"232",3,22,"male",60,"single","low","low","low","high",20,20,7.00409898524797,2.53780999999981,16,40
"233",3,22,"male",60,"single","low","low","low","high",20,40,7.00409898524797,1.34133549899889,17,41
"234",3,22,"male",60,"single","low","low","low","high",20,40,6.90648088092395,1.3039203010012,18,42
"235",3,22,"male",60,"single","low","high","low","high",0,0,-7.15052614173399,1.29361078900001,19,43
"236",3,22,"male",60,"single","high","low","low","low",20,20,5.51542289430676,4.698128344,20,44
"237",3,22,"male",60,"single","low","low","low","high",40,0,3.46544270350248,2.10623815899999,21,45
"238",3,22,"male",60,"single","high","low","low","low",20,20,5.90589531160281,2.22112175400071,22,46
"239",3,22,"male",60,"single","high","high","low","high",40,40,3.39222912525947,3.25653022500046,23,47
"240",3,22,"male",60,"single","low","high","low","high",20,0,6.63803109403292,1.60311012199963,24,48
"241",3,22,"male",60,"double","low","low","low","high",20,40,6.41839035930388,3.2172368749998,1,49
"242",3,22,"male",60,"double","high","low","low","low",20,20,6.07672699416984,2.62161931800074,2,50
"243",3,22,"male",60,"double","low","high","low","high",20,40,7.00409898524797,1.65490193699952,3,51
"244",3,22,"male",60,"double","high","high","low","high",20,40,6.27196320281787,1.68192161600018,4,52
"245",3,22,"male",60,"double","high","high","low","high",20,0,6.27196320281787,1.78935644800004,5,53
"246",3,22,"male",60,"double","high","high","low","high",20,0,6.27196320281787,1.39470740400066,6,54
"247",3,22,"male",60,"double","high","low","low","low",40,20,5.24697310741572,2.38753439799984,7,55
"248",3,22,"male",60,"double","high","low","low","high",20,0,6.39398583322288,1.79471885699968,8,56
"249",3,22,"male",60,"double","low","high","low","high",40,40,4.46602827282362,1.91160246800064,9,57
"250",3,22,"male",60,"double","high","low","low","high",20,0,6.63803109403292,1.63646809500096,10,58
"251",3,22,"male",60,"double","high","low","low","low",40,20,4.27079206417559,3.79588435799997,11,59
"252",3,22,"male",60,"double","low","high","low","high",20,0,7.00409898524797,1.56595068800016,12,60
"253",3,22,"male",60,"double","low","low","low","high",20,0,7.00409898524797,1.54779680200045,13,61
"254",3,22,"male",60,"double","high","low","high","high",40,40,7.05290803740997,3.52702984200005,14,62
"255",3,22,"male",60,"double","high","low","high","high",0,0,-7.272548772139,1.75648685099986,15,63
"256",3,22,"male",60,"double","high","low","low","high",20,40,6.44279488538489,1.91320953200011,16,64
