YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,50,551513,0,321,0,36,35,382,000000181_000012466_c.png
2020,12,7,1,7,50,575232,0,337,0,38,37,382,000000182_000012533_c.png
2020,12,7,1,7,50,597237,0,317,0,38,36,382,000000183_000012599_c.png
2020,12,7,1,7,50,619546,0,324,0,36,33,382,000000184_000012666_c.png
2020,12,7,1,7,50,644173,0,321,0,38,34,382,000000185_000012733_c.png
2020,12,7,1,7,50,662197,0,302,36,382,17,218,000000186_000012799_c.png
2020,12,7,1,7,50,679688,0,317,18,224,36,382,000000187_000012933_c.png
2020,12,7,1,7,50,700928,0,310,0,36,39,381,000000188_000012999_c.png
2020,12,7,1,7,50,722401,0,317,0,36,36,382,000000189_000013066_c.png
2020,12,7,1,7,50,743715,0,319,0,36,36,382,000000190_000013133_c.png
2020,12,7,1,7,50,764462,0,338,0,36,36,381,000000191_000013199_c.png
2020,12,7,1,7,50,783699,0,321,18,218,37,382,000000192_000013266_c.png
2020,12,7,1,7,50,804669,0,322,0,38,37,382,000000193_000013333_c.png
2020,12,7,1,7,50,825694,0,319,0,38,39,382,000000194_000013399_c.png
2020,12,7,1,7,50,846695,0,333,0,38,38,382,000000195_000013466_c.png
2020,12,7,1,7,50,864122,0,318,18,218,38,382,000000196_000013533_c.png
2020,12,7,1,7,50,885156,0,338,0,38,35,382,000000197_000013599_c.png
2020,12,7,1,7,50,903966,0,324,17,218,35,382,000000198_000013666_c.png
2020,12,7,1,7,50,924966,0,339,0,36,39,381,000000199_000013733_c.png
2020,12,7,1,7,50,941839,0,295,39,381,17,218,000000200_000013799_c.png
2020,12,7,1,7,50,964005,0,323,0,38,40,381,000000201_000013866_c.png
2020,12,7,1,7,50,983608,0,325,18,218,37,382,000000202_000013933_c.png
2020,12,7,1,7,51,341,0,330,17,217,37,382,000000203_000013999_c.png
2020,12,7,1,7,51,17202,0,292,39,381,17,218,000000204_000014066_c.png
2020,12,7,1,7,51,33928,0,336,17,218,39,381,000000205_000014734_c.png
2020,12,7,1,7,51,54515,0,338,0,36,38,382,000000206_000014799_c.png
2020,12,7,1,7,51,75014,0,337,0,38,37,382,000000207_000014866_c.png
2020,12,7,1,7,51,95659,0,336,0,38,21,381,000000208_000014933_c.png
2020,12,7,1,7,51,114536,0,336,17,218,39,381,000000209_000014999_c.png
2020,12,7,1,7,51,131560,0,295,39,381,17,218,000000210_000015066_c.png
2020,12,7,1,7,51,148918,0,325,17,218,40,381,000000211_000015133_c.png
2020,12,7,1,7,51,165770,0,337,18,218,40,381,000000212_000015199_c.png
2020,12,7,1,7,51,186520,0,334,0,38,36,382,000000213_000015266_c.png
2020,12,7,1,7,51,205435,0,328,18,217,39,381,000000214_000015333_c.png
2020,12,7,1,7,51,225958,0,334,0,36,40,381,000000215_000015399_c.png
2020,12,7,1,7,51,247318,0,325,0,38,31,382,000000216_000015466_c.png
2020,12,7,1,7,51,268439,0,316,0,38,37,382,000000217_000015533_c.png
2020,12,7,1,7,51,290187,0,323,0,38,39,382,000000218_000015599_c.png
2020,12,7,1,7,51,307491,0,322,18,224,39,381,000000219_000015666_c.png
2020,12,7,1,7,51,328886,0,330,0,36,38,382,000000220_000015733_c.png
2020,12,7,1,7,51,345921,0,320,18,218,35,382,000000221_000015799_c.png
2020,12,7,1,7,51,377376,0,294,35,382,34,217,000000222_000015866_c.png
2020,12,7,1,7,51,404957,0,322,0,36,37,382,000000223_000015933_c.png
2020,12,7,1,7,51,426999,0,325,34,217,38,382,000000224_000015999_c.png
2020,12,7,1,7,51,448266,0,322,39,221,39,381,000000225_000016066_c.png
2020,12,7,1,7,51,467168,0,337,18,218,38,382,000000226_000016133_c.png
2020,12,7,1,7,51,489527,0,321,0,38,36,381,000000227_000016199_c.png
2020,12,7,1,7,51,507618,0,323,34,217,35,382,000000228_000016266_c.png
2020,12,7,1,7,51,527383,0,318,28,229,35,382,000000229_000016333_c.png
2020,12,7,1,7,51,547424,0,337,18,218,37,382,000000230_000016399_c.png
2020,12,7,1,7,51,565397,0,336,18,218,36,382,000000231_000016466_c.png
2020,12,7,1,7,51,587483,0,320,0,36,39,381,000000232_000016533_c.png
2020,12,7,1,7,51,605615,0,336,18,224,36,382,000000233_000016599_c.png
2020,12,7,1,7,51,627492,0,337,18,218,35,382,000000234_000016666_c.png
2020,12,7,1,7,51,651501,0,318,0,36,38,382,000000235_000016733_c.png
2020,12,7,1,7,51,674257,0,325,0,36,37,382,000000236_000016799_c.png
2020,12,7,1,7,51,696392,0,316,0,38,39,382,000000237_000016866_c.png
2020,12,7,1,7,51,718726,0,323,0,36,38,382,000000238_000016933_c.png
2020,12,7,1,7,51,736359,0,321,34,217,37,382,000000239_000016999_c.png
2020,12,7,1,7,51,758100,0,333,0,36,36,382,000000240_000017066_c.png
2020,12,7,1,7,51,775691,0,319,18,218,34,382,000000241_000017133_c.png
2020,12,7,1,7,51,795365,0,323,34,217,36,382,000000242_000017199_c.png
2020,12,7,1,7,51,816607,0,337,0,36,37,382,000000243_000017266_c.png
2020,12,7,1,7,51,838318,0,317,0,38,35,382,000000244_000017333_c.png
2020,12,7,1,7,51,857871,0,323,18,218,39,381,000000245_000017399_c.png
2020,12,7,1,7,51,875521,0,324,18,218,35,382,000000246_000017466_c.png
2020,12,7,1,7,51,896879,0,335,0,38,40,381,000000247_000017533_c.png
2020,12,7,1,7,51,918234,0,332,0,36,35,382,000000248_000017599_c.png
2020,12,7,1,7,51,940104,0,321,0,38,37,382,000000249_000017666_c.png
2020,12,7,1,7,51,962749,0,316,0,38,35,382,000000250_000017733_c.png
2020,12,7,1,7,51,984321,0,318,0,38,40,381,000000251_000017799_c.png
2020,12,7,1,7,52,6907,0,322,0,38,36,381,000000252_000017866_c.png
2020,12,7,1,7,52,29798,0,319,0,38,35,382,000000253_000017933_c.png
2020,12,7,1,7,52,51641,0,320,0,36,40,373,000000254_000017999_c.png
2020,12,7,1,7,52,71354,0,336,17,218,39,381,000000255_000018066_c.png
2020,12,7,1,7,52,91065,0,334,34,217,39,381,000000256_000018133_c.png
2020,12,7,1,7,52,111047,0,324,18,218,37,381,000000257_000018534_c.png
2020,12,7,1,7,52,130880,0,336,16,217,32,382,000000258_000018599_c.png
2020,12,7,1,7,52,152636,0,321,0,36,39,381,000000259_000018733_c.png
2020,12,7,1,7,52,172409,0,322,17,218,39,381,000000260_000018799_c.png
2020,12,7,1,7,52,193859,0,326,0,36,40,381,000000261_000018866_c.png
2020,12,7,1,7,52,213653,0,317,17,218,39,381,000000262_000018933_c.png
2020,12,7,1,7,52,233307,0,334,38,218,36,382,000000263_000018999_c.png
2020,12,7,1,7,52,251026,0,306,17,218,38,382,000000264_000019066_c.png
2020,12,7,1,7,52,273390,0,332,0,36,36,382,000000265_000019133_c.png
2020,12,7,1,7,52,293470,0,330,18,218,39,381,000000266_000019199_c.png
2020,12,7,1,7,52,314929,0,320,0,38,38,382,000000267_000019266_c.png
2020,12,7,1,7,52,336515,0,316,0,36,38,382,000000268_000019333_c.png
2020,12,7,1,7,52,354394,0,337,34,217,37,382,000000269_000019399_c.png
2020,12,7,1,7,52,381272,0,319,0,36,37,382,000000270_000019466_c.png
2020,12,7,1,7,52,402272,0,315,17,218,37,382,000000271_000019533_c.png
2020,12,7,1,7,52,424947,0,322,0,36,40,381,000000272_000019599_c.png
2020,12,7,1,7,52,447604,0,321,0,36,39,382,000000273_000019866_c.png
2020,12,7,1,7,52,469669,0,328,0,38,37,382,000000274_000019933_c.png
2020,12,7,1,7,52,487799,0,336,39,219,39,381,000000275_000019999_c.png
2020,12,7,1,7,52,509897,0,337,0,36,38,382,000000276_000020066_c.png
2020,12,7,1,7,52,532460,0,337,0,38,37,382,000000277_000020133_c.png
2020,12,7,1,7,52,550918,0,335,18,224,39,381,000000278_000020199_c.png
2020,12,7,1,7,52,573862,0,336,0,36,37,382,000000279_000020266_c.png
2020,12,7,1,7,52,597521,0,318,0,36,40,381,000000280_000020333_c.png
2020,12,7,1,7,52,620972,0,321,0,38,38,382,000000281_000020399_c.png
2020,12,7,1,7,52,644506,0,329,0,38,39,382,000000282_000020466_c.png
2020,12,7,1,7,52,666682,0,324,0,36,40,381,000000283_000020533_c.png
2020,12,7,1,7,52,688983,0,323,0,38,31,382,000000284_000020599_c.png
2020,12,7,1,7,52,711212,0,327,0,38,39,382,000000285_000020666_c.png
2020,12,7,1,7,52,733730,0,338,0,36,36,382,000000286_000020733_c.png
2020,12,7,1,7,52,756351,0,337,0,38,39,382,000000287_000020799_c.png
2020,12,7,1,7,52,779452,0,326,0,38,38,382,000000288_000020866_c.png
2020,12,7,1,7,52,802130,0,334,0,38,39,382,000000289_000020933_c.png
2020,12,7,1,7,52,825978,0,315,0,38,34,382,000000290_000020999_c.png
2020,12,7,1,7,52,848236,0,316,0,36,34,382,000000291_000021066_c.png
2020,12,7,1,7,52,870711,0,319,0,38,39,381,000000292_000021133_c.png
